snapshot_time,trip_id,stop_id,delay_sec
20260801_194017,4165918,2170,126.0
20260801_194017,4165918,2171,104.0
20260801_194017,4165918,2172,80.0
20260801_194017,4165918,2173,97.0
20260801_194017,4165918,1504,88.0
20260801_194017,4165918,1505,109.0
20260801_194017,4165918,1506,94.0
20260801_194017,4165918,1507,88.0
20260801_194017,4165918,2301,82.0
20260801_194017,4165918,2302,114.0
20260801_194017,4165918,2304,122.0
20260801_194017,4165918,2125,112.0
20260801_194017,4165918,1519,109.0
20260801_194017,4166697,3499,0.0
20260801_194017,4166697,1047,1.0
20260801_194017,4166697,2621,-7.0
20260801_194017,4166697,2622,7.0
20260801_194017,4166697,2623,25.0
20260801_194017,4166697,5161,-23.0
20260801_194017,4166697,2860,0.0
20260801_194017,4166697,1874,12.0
20260801_194017,4166697,1875,-18.0
20260801_194017,4166697,3715,-13.0
20260801_194017,4166697,2616,2.0
20260801_194017,4166697,2563,0.0
20260801_194017,4166697,2636,-28.0
20260801_194017,4166697,2649,28.0
20260801_194017,4166697,2653,-16.0
20260801_194017,4166697,2408,21.0
20260801_194017,4166697,1375,0.0
20260801_194017,4166697,1879,-22.0
20260801_194017,4166697,1893,0.0
20260801_194017,4166697,2541,0.0
20260801_194017,4166697,2462,17.0
20260801_194017,4166697,2463,-8.0
20260801_194017,4166697,2464,-7.0
20260801_194017,4166697,2466,-28.0
20260801_194017,4166697,2537,20.0
20260801_194017,4166697,3088,6.0
20260801_194017,4166697,3089,-7.0
20260801_194017,4166697,3090,-26.0
20260801_194017,4166697,2665,0.0
20260801_194017,4166697,2667,-16.0
20260801_194017,4166697,2670,19.0
20260801_194017,4166697,2671,5.0
20260801_194017,4166697,3621,0.0
20260801_194017,4166696,2621,478.0
20260801_194017,4166696,2622,492.0
20260801_194017,4166696,2623,510.0
20260801_194017,4166696,5161,462.0
20260801_194017,4166696,2860,445.0
20260801_194017,4166696,1874,457.0
20260801_194017,4166696,1875,427.0
20260801_194017,4166696,3715,397.0
20260801_194017,4166696,2616,412.0
20260801_194017,4166696,2563,410.0
20260801_194017,4166696,2636,382.0
20260801_194017,4166696,2649,438.0
20260801_194017,4166696,2653,394.0
20260801_194017,4166696,2408,431.0
20260801_194017,4166696,1375,410.0
20260801_194017,4166696,1879,388.0
20260801_194017,4166696,1893,410.0
20260801_194017,4166696,2541,410.0
20260801_194017,4166696,2462,427.0
20260801_194017,4166696,2463,402.0
20260801_194017,4166696,2464,403.0
20260801_194017,4166696,2466,382.0
20260801_194017,4166696,2537,430.0
20260801_194017,4166696,3088,416.0
20260801_194017,4166696,3089,403.0
20260801_194017,4166696,3090,384.0
20260801_194017,4166696,2665,410.0
20260801_194017,4166696,2667,394.0
20260801_194017,4166696,2670,429.0
20260801_194017,4166696,2671,415.0
20260801_194017,4166696,3621,410.0
20260801_194017,4167780,3765,49.0
20260801_194017,4167780,3766,95.0
20260801_194017,4167780,1931,110.0
20260801_194017,4167780,4046,69.0
20260801_194017,4167780,3671,139.0
20260801_194017,4167780,4054,123.0
20260801_194017,4167780,4049,132.0
20260801_194017,4167780,2832,97.0
20260801_194017,4167780,2670,143.0
20260801_194017,4167780,1166,93.0
20260801_194017,4167780,3619,123.0
